Rank	Score	Type	ID	Name	Description
22	97.43	cp	BRD-A62035778	scopolamine	Acetylcholine receptor antagonist
25	96.49	cp	BRD-K59184148	SB-216763	Glycogen synthase kinase inhibitor
43	93.78	cp	BRD-K55677650	CO-101244	Ionotropic glutamate receptor antagonist
54	92.69	cp	BRD-A15079084	phorbol-12-myristate-13-acetate	PKC activator
56	92.66	cp	BRD-A16665823	butoconazole	Bacterial cell wall synthesis inhibitor
65	91.32	cp	BRD-K48300629	zonisamide	Sodium channel blocker
68	90.97	cp	BRD-K68246049	TTNPB	Retinoid receptor agonist
71	90.65	cp	BRD-K25504083	cytochalasin-d	Actin polymerization inhibitor
88	89.01	cp	BRD-K43245338	MDL-28170	Calpain inhibitor
90	88.69	cp	BRD-K63606607	bufalin	ATPase inhibitor
91	88.58	cp	BRD-A34205397	suloctidil	Adrenergic receptor antagonist
99	87.41	cp	BRD-K76872913	benzanthrone	Aromatic hydrocarbon derivative
102	87.15	cp	BRD-A52650764	ingenol	PKC activator
105	86.71	cp	BRD-A80960055	celastrol	Anti-inflammatory
112	86.1	cp	BRD-A25775766	securinine	GABA receptor antagonist
123	84.63	cp	BRD-A41555725	chlortetracycline	Protein synthesis inhibitor
124	84.21	cp	BRD-K54095730	CMPD-1	p38 MAPK inhibitor
126	83.91	cp	BRD-K26664453	cytochalasin-b	Microtubule inhibitor
134	82.44	cp	BRD-K29733039	deforolimus	MTOR inhibitor
135	82.39	cp	BRD-A46186775	hydrocortisone	Glucocorticoid receptor agonist
136	82.14	cp	BRD-K34995470	SU-1498	VEGFR inhibitor
140	81.57	cp	BRD-K03109492	NSC-663284	CDC inhibitor
143	81.38	cp	BRD-K05977823	tenovins	SIRT inhibitor
145	81.25	cp	BRD-K50325075	UCL-2077	Slow after hyperpolarization channel blocker
148	81.17	cp	BRD-A54927599	KF-38789	P-selectin inhibitor
150	80.53	cp	BRD-K03440695	boldine	Acetylcholine receptor antagonist
152	80.21	cp	BRD-A43150328	penicillic-acid	other antibiotic
160	79.53	cp	BRD-A78360835	cercosporin	Photoactivated toxin
171	78.07	cp	BRD-K65146499	nabumetone	Cyclooxygenase inhibitor
173	77.85	cp	BRD-K21806131	tegaserod	Serotonin receptor partial agonist
174	77.75	cp	BRD-A90799790	isradipine	Calcium channel blocker
188	76.41	cp	BRD-A43331270	niguldipine	Calcium channel blocker
189	76.14	cp	BRD-K11911061	GR-127935	Serotonin receptor antagonist
191	76.06	cp	BRD-K05653692	DL-PDMP	Glucosyltransferase inhibitor
192	76.05	cp	BRD-K95785537	PP-2	SRC inhibitor
193	76.04	cp	BRD-A73605923	mocimycin	Protein synthesis inhibitor
202	75.26	cp	BRD-K83289131	CAY-10618	NAMPT inhibitor
211	74.64	cp	BRD-K88868628	iodoacetic-acid	Cysteine peptidase inhibitor
213	74.18	cp	BRD-K29950728	clomifene	Estrogen receptor antagonist
220	73.39	cp	BRD-K92991072	PAC-1	Caspase activator
224	73.01	cp	BRD-K17705806	JTC-801	Opioid receptor antagonist
234	72.12	cp	BRD-K85606544	neratinib	EGFR inhibitor
